id,Municipality,latitude,longitude,name
1,New Paltz NY,41.7480221181649,-74.08748629310958,New Paltz
2,Decorah IA,43.30390507920024,-91.78768934675433,Decorah
3,Chelsea MA,42.39227059448384,-71.03310862600226,Chelsea
4,Belém Brazil,-1.4130076576577397,-48.4459769482463,Belém
5,Homer Seldovia AK,59.648340109026066,-151.53924997723755,Homer
6,Seldovia,59.46908528500031,-151.66193917488357,Seldovia
7,New Orleans LA,30.005573563357853,-90.03569632781702,New Orleans
8,Summit County UT,40.90290163479182,-111.12716723252022,Summit County
9,Lawrence MA,42.69982793135439,-71.1636643844364,Lawrence
10,Thiruvananthapuram Trivandrum India,8.524833961135895,76.92140783362315,Thiruvananthapuram
11,Addis Ababa ET,8.974002532047537,38.74517359307727,Addis Ababa
12,Rio Branco Brazil,-9.97212183445677,-67.82903967833896,Rio Branco
13,Charleston SC,32.778459443888885,-79.93506071886156,Charleston
14,Brockton MA,42.083614223314804,-71.01959606465473,Brockton
15,Canastra Region Brazil,-8.943553044277069,-35.844012040296995,Canastra Region